Benchmark/1-4                	  500000	      3626 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3467 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3849 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3539 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3672 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3579 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3515 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3579 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3665 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3770 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     33708 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34279 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32524 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32175 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35323 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33991 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34872 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32991 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     35614 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33319 ns/op	   16001 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    311155 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    331549 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    326380 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    350277 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    329218 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    307016 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    326327 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    313161 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    339421 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    366029 ns/op	  160013 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3864801 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3466338 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   4101836 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3291988 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3188716 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3376217 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3408364 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3481251 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3405603 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3427859 ns/op	 1600131 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  36693419 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  35333798 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  35406367 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      30	  42375844 ns/op	16006562 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  35184092 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  36253709 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32985974 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  33269901 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  38526430 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  39064308 ns/op	16003937 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 443613167 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 428357994 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 411515273 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 408064491 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 391322651 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 401643998 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 413270857 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 369393007 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 360687375 ns/op	160548864 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 375259633 ns/op	160548864 B/op	10000017 allocs/op
