Benchmark/1-4                	  500000	      4211 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      3980 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3830 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4229 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4515 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4578 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4349 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4310 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  300000	      4237 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3882 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   30000	     42775 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   30000	     38084 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39110 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   30000	     42874 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36815 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     41817 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   30000	     38214 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39680 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   30000	     42137 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39310 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    3000	    509421 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    521476 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    502919 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    575073 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    2000	    563284 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    503935 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    477106 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    503784 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    437447 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/100-4              	    3000	    443347 ns/op	  380800 B/op	   10600 allocs/op
Benchmark/1000-4             	     300	   4885512 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4112255 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4533730 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4898557 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4121402 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4747864 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4751262 ns/op	 3366404 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4133479 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4841341 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/1000-4             	     300	   4668368 ns/op	 3366403 B/op	  104800 allocs/op
Benchmark/10000-4            	      30	  43355615 ns/op	33222449 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  47682639 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  50376146 ns/op	33222439 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  48523293 ns/op	33222439 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  52567138 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      20	  54276812 ns/op	33222464 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  46799312 ns/op	33222449 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  42544695 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  47659834 ns/op	33222439 B/op	 1046800 allocs/op
Benchmark/10000-4            	      30	  47847063 ns/op	33222442 B/op	 1046800 allocs/op
Benchmark/100000-4           	       3	 476129745 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 528644816 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 436463687 ns/op	332445226 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 541289345 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 436439421 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 524203377 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       2	 542411332 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 445769483 ns/op	332445194 B/op	10468601 allocs/op
Benchmark/100000-4           	       2	 536468841 ns/op	332445392 B/op	10468602 allocs/op
Benchmark/100000-4           	       3	 434244833 ns/op	332445194 B/op	10468601 allocs/op
