goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillGammazeroQueue/10-4        	 3000000	       613 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       512 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       505 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 2000000	       531 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       505 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       496 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       546 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       497 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/10-4        	 3000000	       497 ns/op	     464 B/op	      12 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5221 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5215 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5308 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5901 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5273 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5383 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5558 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  200000	      5533 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      6093 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/100-4       	  300000	      5215 ns/op	    7280 B/op	     108 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     45485 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     48130 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     46147 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     45319 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     44153 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     44050 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     44603 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     43961 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     44315 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/1000-4      	   30000	     44447 ns/op	   64688 B/op	    1014 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    516988 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    603578 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    591409 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    514052 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    512700 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    507179 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    505584 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    504475 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    508574 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/10000-4     	    3000	    500784 ns/op	  945968 B/op	   10022 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   6932282 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   6946963 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   7215735 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   6959327 ns/op	 7890992 B/op	  100028 allocs/op
BenchmarkFillGammazeroQueue/100000-4    	     200	   6835394 ns/op	 7890992 B/op	  100028 allocs/op
