Benchmark/1-4 	 2000000	       783 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       625 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       627 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       645 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       626 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       633 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       662 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       711 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       635 ns/op	     432 B/op	      17 allocs/op
Benchmark/1-4 	 2000000	       654 ns/op	     432 B/op	      17 allocs/op
Benchmark/10-4         	  300000	      5014 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4777 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      5055 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4902 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4657 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4650 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4706 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4674 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4884 ns/op	    6912 B/op	     109 allocs/op
Benchmark/10-4         	  300000	      4830 ns/op	    6912 B/op	     109 allocs/op
Benchmark/100-4        	   50000	     31706 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     31442 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     31609 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     31632 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     32839 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     31252 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     33045 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     33068 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     33315 ns/op	   29632 B/op	     927 allocs/op
Benchmark/100-4        	   50000	     32949 ns/op	   29632 B/op	     927 allocs/op
Benchmark/1000-4       	    5000	    298604 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    310222 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    318370 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    309591 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    321349 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    310085 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    326769 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    305636 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    306791 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/1000-4       	    5000	    322626 ns/op	  260992 B/op	    9111 allocs/op
Benchmark/10000-4      	     500	   3105967 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3071995 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3317673 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3532125 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3014146 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3342557 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3140764 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3052758 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3144545 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/10000-4      	     500	   3014958 ns/op	 2578752 B/op	   90955 allocs/op
Benchmark/100000-4     	      50	  32472032 ns/op	25752193 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  32419323 ns/op	25752195 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  33141671 ns/op	25752195 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  32913104 ns/op	25752192 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  33675675 ns/op	25752192 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  39628691 ns/op	25752193 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  33479729 ns/op	25752193 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  33938877 ns/op	25752192 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  33061107 ns/op	25752193 B/op	  909391 allocs/op
Benchmark/100000-4     	      50	  38434827 ns/op	25752201 B/op	  909391 allocs/op
Benchmark/1000000-4    	       3	 353455863 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 334271740 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 340596180 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 335056193 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 359361865 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 346749306 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 351346656 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 343350757 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 336666963 ns/op	257503232 B/op	 9093767 allocs/op
Benchmark/1000000-4    	       3	 374741834 ns/op	257503232 B/op	 9093767 allocs/op
