Benchmark/1-4                	  500000	      3532 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3586 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3556 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3462 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3333 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3337 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3636 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3519 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3412 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3678 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     34543 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     33495 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32410 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32098 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32909 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31947 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     34139 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     32917 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31677 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     31118 ns/op	   16002 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    308959 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    314385 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    317014 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    314966 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    313582 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    313843 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    310227 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    306676 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    303764 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    305824 ns/op	  160026 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   3017153 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3127089 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3092941 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3020698 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3146899 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3045789 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3070203 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3047992 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2976245 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   3000123 ns/op	 1600262 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  30744369 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30481600 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32430514 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30884607 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32719137 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30947489 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  30666672 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31070172 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31175829 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  32062839 ns/op	16005250 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 349479186 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 389781553 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 354295854 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 369438117 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 367891149 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 415166682 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 359877088 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 368020570 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 354825589 ns/op	160570922 B/op	10000017 allocs/op
Benchmark/100000-4           	       3	 373639772 ns/op	160570922 B/op	10000017 allocs/op
