goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillDequeQueue/100000-4    	     300	   4021576 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     500	   3939596 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     500	   3951108 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     500	   3947137 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     500	   4033528 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4035766 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4099907 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4006669 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45240922 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  44739039 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45980471 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45588559 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45053117 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  46227116 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45125953 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45366176 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45462099 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45759905 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        36.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        35.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        37.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        38.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        35.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        39.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        37.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        39.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        37.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       137 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       138 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       150 ns/op	     128 B/op	       4 allocs/op
