goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillImpl7Queue/0-4         	50000000	        36.9 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        35.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        35.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        35.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        39.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        35.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        35.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        36.0 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/0-4         	50000000	        36.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       132 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       132 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       134 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       134 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       132 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       132 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       134 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       133 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/1-4         	10000000	       132 ns/op	     112 B/op	       4 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       736 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       746 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       770 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       771 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       775 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       759 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       749 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       756 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       844 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/10-4        	 2000000	       818 ns/op	     736 B/op	      17 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4340 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4649 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4431 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4290 ns/op	    4256 B/op	     109 allocs/op
BenchmarkFillImpl7Queue/100-4       	  300000	      4209 ns/op	    4256 B/op	     109 allocs/op
