Benchmark/1-4                	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        36.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.5 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        39.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        38.3 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        35.6 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        40.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4                	50000000	        37.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4               	 5000000	       360 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       359 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       363 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       369 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       359 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       351 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4               	 5000000	       361 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4              	  500000	      3458 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      4962 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3498 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3684 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3721 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3781 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  300000	      3494 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3414 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3434 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4              	  500000	      3460 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4             	   50000	     36013 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36265 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     35668 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   30000	     35405 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34852 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34187 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36077 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     36045 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     35101 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4             	   50000	     34940 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10000-4            	    5000	    344454 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    360185 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    351573 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    3000	    352467 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    340030 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    339169 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    351917 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    362945 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    344002 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/10000-4            	    5000	    358561 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100000-4           	     200	   5351268 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3501272 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3654053 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3465848 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3391244 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   4133323 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3739462 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3748012 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3597319 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/100000-4           	     500	   3770905 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000000-4          	      30	  35952832 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34447220 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36427980 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34201084 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  37283721 ns/op	16000001 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  34729264 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35236319 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  35435795 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      30	  35360224 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/1000000-4          	      50	  36152306 ns/op	16000000 B/op	 1000000 allocs/op
