Benchmark/1-4          	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.1 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.0 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        37.2 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        35.9 ns/op	      16 B/op	       1 allocs/op
Benchmark/1-4          	50000000	        34.8 ns/op	      16 B/op	       1 allocs/op
Benchmark/10-4         	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       357 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       358 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       352 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       355 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       353 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       349 ns/op	     160 B/op	      10 allocs/op
Benchmark/10-4         	 5000000	       348 ns/op	     160 B/op	      10 allocs/op
Benchmark/100-4        	  500000	      3408 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3377 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3384 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3466 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3433 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3431 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3528 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3499 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3478 ns/op	    1600 B/op	     100 allocs/op
Benchmark/100-4        	  500000	      3451 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1000-4       	   50000	     34358 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34314 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34925 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34330 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34385 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34384 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34115 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34332 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/1000-4       	   50000	     34584 ns/op	   16000 B/op	    1000 allocs/op
