Benchmark/1-4            	  500000	      3112 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3317 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3185 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3473 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3390 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3217 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3185 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3176 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3110 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4            	  500000	      3422 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4           	   50000	     34478 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     36104 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33463 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31979 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     34666 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31723 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31649 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     33488 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31893 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4           	   50000	     31329 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4          	    5000	    306556 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    299356 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    302628 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    307527 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    299819 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    305790 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    306523 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    312347 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    337107 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4          	    5000	    340881 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4         	     500	   3305967 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3191773 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3255435 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3077108 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3031795 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3096704 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3166824 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3306799 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3714799 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/1000-4         	     500	   3166486 ns/op	 1600000 B/op	  100000 allocs/op
Benchmark/10000-4        	      50	  31779816 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      30	  33366523 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  35398780 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31478348 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30918207 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31738101 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30587263 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  31556210 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30992697 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/10000-4        	      50	  30653209 ns/op	16000000 B/op	 1000000 allocs/op
Benchmark/100000-4       	       3	 348255163 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 351549323 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 348856859 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 344597547 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 352771626 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 357357837 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 358541850 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 358554612 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 375892075 ns/op	160000000 B/op	10000000 allocs/op
Benchmark/100000-4       	       3	 364334647 ns/op	160000000 B/op	10000000 allocs/op
