Benchmark/1-4          	20000000	        56.5 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        77.9 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	20000000	        69.0 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        57.5 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        57.4 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        55.9 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        56.3 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        54.4 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        56.5 ns/op	      24 B/op	       2 allocs/op
Benchmark/1-4          	30000000	        55.7 ns/op	      24 B/op	       2 allocs/op
Benchmark/10-4         	 3000000	       567 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       834 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       551 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       581 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       663 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       584 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       577 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       559 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 3000000	       597 ns/op	     240 B/op	      20 allocs/op
Benchmark/10-4         	 2000000	       575 ns/op	     240 B/op	      20 allocs/op
Benchmark/100-4        	  300000	      6076 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5659 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5461 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5382 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5378 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5517 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5529 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5388 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5541 ns/op	    2400 B/op	     200 allocs/op
Benchmark/100-4        	  300000	      5629 ns/op	    2400 B/op	     200 allocs/op
Benchmark/1000-4       	   30000	     55203 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     53421 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     54059 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     59833 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     59504 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   10000	    110684 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   20000	     55210 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     54783 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     54270 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/1000-4       	   30000	     53737 ns/op	   24000 B/op	    2000 allocs/op
Benchmark/10000-4      	    3000	    534034 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    547719 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    536227 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    538790 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    538959 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    559767 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    798885 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    2000	    558832 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    751886 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/10000-4      	    3000	    559331 ns/op	  240000 B/op	   20000 allocs/op
Benchmark/100000-4     	     100	  10568339 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     200	   5402458 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   8276194 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   5762235 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   5479017 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   5343396 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   5374896 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   5655767 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     300	   5497064 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/100000-4     	     100	  11031277 ns/op	 2400000 B/op	  200000 allocs/op
Benchmark/1000000-4    	      30	  54272354 ns/op	24000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      30	  54645230 ns/op	24000000 B/op	 2000000 allocs/op
Benchmark/1000000-4    	      30	  53926702 ns/op	24000000 B/op	 2000000 allocs/op
