goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillDequeQueue/10000-4     	    3000	    446823 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/10000-4     	    3000	    393385 ns/op	  322048 B/op	   10083 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4179110 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   5631113 ns/op	 3220737 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   3922312 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4732194 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4485718 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4077840 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4177486 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   4194290 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     500	   4076109 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/100000-4    	     300	   5034096 ns/op	 3220736 B/op	  100787 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      20	  56269059 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  47813602 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  49565128 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      20	  57785378 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  45684243 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  48473404 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      20	  56322883 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      20	  52118049 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  47166687 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeQueue/1000000-4   	      30	  57532501 ns/op	32191040 B/op	 1007819 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        38.2 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        38.4 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	30000000	        38.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	30000000	        38.7 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        39.6 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	30000000	        38.5 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        42.8 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        37.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        37.3 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/0-4         	50000000	        44.1 ns/op	      48 B/op	       1 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       141 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       140 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       162 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       151 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       152 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       150 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       155 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       149 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       143 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/1-4         	10000000	       141 ns/op	     128 B/op	       4 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       684 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       642 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       749 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       632 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       620 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       613 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       634 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       684 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       641 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/10-4        	 2000000	       719 ns/op	     592 B/op	      15 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      5073 ns/op	    6176 B/op	     107 allocs/op
BenchmarkFillDequeStack/100-4       	  300000	      4882 ns/op	    6176 B/op	     107 allocs/op
