goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillSliceQueue/100-4       	  200000	      5623 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  500000	      4012 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  500000	      3996 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceQueue/100-4       	  500000	      3938 ns/op	    3672 B/op	     109 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     33448 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     32602 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     32570 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     35473 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     34156 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     33160 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     32744 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     33143 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     33272 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/1000-4      	   50000	     33012 ns/op	   32408 B/op	    1012 allocs/op
BenchmarkFillSliceQueue/10000-4     	    5000	    391306 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    5000	    397209 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3000	    417000 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3000	    398824 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    5000	    410489 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3000	    446077 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    3000	    411014 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    5000	    403216 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    5000	    392348 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/10000-4     	    5000	    436391 ns/op	  546328 B/op	   10021 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   9070486 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   9072289 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   9374119 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   9171787 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     100	  10234952 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   9190936 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   8912806 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   8986015 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	   9536494 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/100000-4    	     200	  13623920 ns/op	 6254360 B/op	  100031 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 178308963 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 153255840 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 127091650 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 113260840 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 105972338 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 109470453 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 108777052 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 105114473 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 104799658 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceQueue/1000000-4   	      10	 108861975 ns/op	61188376 B/op	 1000041 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        43.5 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        44.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        43.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        43.1 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        43.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        48.3 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        43.8 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        42.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        42.9 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/0-4         	30000000	        43.2 ns/op	      32 B/op	       1 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	        99.2 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	        99.8 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	        99.0 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	       104 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	       105 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	       100 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	        97.5 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	        97.1 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	       101 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/1-4         	20000000	       101 ns/op	      56 B/op	       3 allocs/op
BenchmarkFillSliceStack/10-4        	 3000000	       613 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 3000000	       604 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 2000000	       598 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 3000000	       649 ns/op	     440 B/op	      16 allocs/op
BenchmarkFillSliceStack/10-4        	 2000000	       607 ns/op	     440 B/op	      16 allocs/op
