Benchmark/1-4                	30000000	        49.8 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        45.7 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        42.2 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        50.8 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        48.2 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        42.3 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        45.4 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        50.1 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        42.9 ns/op	      33 B/op	       1 allocs/op
Benchmark/1-4                	30000000	        42.2 ns/op	      33 B/op	       1 allocs/op
Benchmark/10-4               	 3000000	       479 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       452 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       447 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       512 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       467 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       484 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       512 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       517 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       561 ns/op	     332 B/op	      10 allocs/op
Benchmark/10-4               	 3000000	       453 ns/op	     332 B/op	      10 allocs/op
Benchmark/100-4              	  300000	      4644 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      5096 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      4221 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      4287 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      5041 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  200000	      5222 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      4353 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      4516 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      5034 ns/op	    3325 B/op	     104 allocs/op
Benchmark/100-4              	  300000	      4543 ns/op	    3325 B/op	     104 allocs/op
Benchmark/1000-4             	   30000	     42950 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     50060 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     41569 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     45791 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     48224 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     41725 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     47173 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     44733 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     41456 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/1000-4             	   30000	     47519 ns/op	   33250 B/op	    1046 allocs/op
Benchmark/10000-4            	    3000	    458132 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/10000-4            	    3000	    413826 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/10000-4            	    3000	    444683 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/10000-4            	    3000	    497447 ns/op	  332500 B/op	   10468 allocs/op
Benchmark/10000-4            	    3000	    443877 ns/op	  332500 B/op	   10468 allocs/op
