Benchmark/1-4                	20000000	        83.0 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        84.5 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        83.4 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        90.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        86.7 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        89.9 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        82.1 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        89.2 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        91.8 ns/op	      64 B/op	       2 allocs/op
Benchmark/1-4                	20000000	        88.6 ns/op	      64 B/op	       2 allocs/op
Benchmark/10-4               	 2000000	       801 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       850 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       795 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       856 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       787 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       826 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	      1112 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       815 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       834 ns/op	     640 B/op	      20 allocs/op
Benchmark/10-4               	 2000000	       822 ns/op	     640 B/op	      20 allocs/op
Benchmark/100-4              	  200000	      8086 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	     10343 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7777 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7720 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7847 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7746 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7749 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7662 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7722 ns/op	    6400 B/op	     200 allocs/op
Benchmark/100-4              	  200000	      7821 ns/op	    6400 B/op	     200 allocs/op
Benchmark/1000-4             	   20000	     87141 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     79425 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     83000 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     82388 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     80653 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     80227 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	    106668 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     79042 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   20000	     98131 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/1000-4             	   10000	    122893 ns/op	   64000 B/op	    2000 allocs/op
Benchmark/10000-4            	    2000	    842972 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    783808 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    777606 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    803625 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	   1106215 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    783105 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    770789 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    820664 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    766273 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/10000-4            	    2000	    774132 ns/op	  640000 B/op	   20000 allocs/op
Benchmark/100000-4           	     200	   8605871 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   8182865 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	  11409039 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   7758504 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   7988969 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     100	  14937526 ns/op	 6400001 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   7920049 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   9466769 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     200	   9437952 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/100000-4           	     100	  10463790 ns/op	 6400000 B/op	  200000 allocs/op
Benchmark/1000000-4          	      20	  81676869 ns/op	64000004 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  80979561 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  84823272 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  80330176 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  80756065 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  80176398 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  82796198 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  90796162 ns/op	64000019 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  82276202 ns/op	64000000 B/op	 2000000 allocs/op
Benchmark/1000000-4          	      20	  89688938 ns/op	64000004 B/op	 2000000 allocs/op
