goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillJujuQueue/100000-4    	     300	   4337691 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4384429 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4320549 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4307032 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4313953 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4364824 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4330467 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/100000-4    	     300	   4346593 ns/op	 3325632 B/op	  104690 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      20	  56914886 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      20	  59480072 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      30	  58551150 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      30	  59115879 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      30	  60094019 ns/op	33251187 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      30	  59193371 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      30	  60176887 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      20	  59148919 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      30	  59375864 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuQueue/1000000-4   	      20	  56430876 ns/op	33251184 B/op	 1046879 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       361 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 3000000	       374 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       359 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       362 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       360 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       362 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/0-4         	 5000000	       358 ns/op	    1184 B/op	       4 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       402 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       403 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       405 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       404 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       406 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       402 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       414 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       403 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       406 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/1-4         	 3000000	       405 ns/op	    1200 B/op	       5 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       736 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       738 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       738 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       745 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       737 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       741 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/10-4        	 2000000	       738 ns/op	    1344 B/op	      14 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4565 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4612 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4601 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4554 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4569 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4570 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4595 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4564 ns/op	    4992 B/op	     110 allocs/op
BenchmarkFillJujuStack/100-4       	  300000	      4570 ns/op	    4992 B/op	     110 allocs/op
