Benchmark/1-4                	  500000	      2904 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2921 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2953 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3046 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3014 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2954 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      2952 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3069 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3166 ns/op	    1600 B/op	     100 allocs/op
Benchmark/1-4                	  500000	      3121 ns/op	    1600 B/op	     100 allocs/op
Benchmark/10-4               	   50000	     29562 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     38746 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     28409 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     36550 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     28910 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     28614 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     39289 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     27942 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     28441 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/10-4               	   50000	     30828 ns/op	   16000 B/op	    1000 allocs/op
Benchmark/100-4              	    5000	    272044 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    275184 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    303301 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    438304 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    335892 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    275751 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    278851 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    276082 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    283557 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/100-4              	    5000	    276760 ns/op	  160000 B/op	   10000 allocs/op
Benchmark/1000-4             	     500	   2679633 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2671170 ns/op	 1600033 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2695501 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2649336 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2605017 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2664037 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2744654 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2669962 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2621662 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/1000-4             	     500	   2664091 ns/op	 1600032 B/op	  100000 allocs/op
Benchmark/10000-4            	      50	  28532416 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  29134069 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  27155709 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  27680826 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  28809220 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  28860490 ns/op	16007728 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  31104427 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  34175041 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  29195306 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/10000-4            	      50	  36442471 ns/op	16007726 B/op	 1000000 allocs/op
Benchmark/100000-4           	       3	 427154476 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 336989692 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 349487530 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 355209927 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       5	 341103723 ns/op	160930872 B/op	10000006 allocs/op
Benchmark/100000-4           	       5	 335742253 ns/op	160930872 B/op	10000006 allocs/op
Benchmark/100000-4           	       3	 351454152 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 339038768 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 334485925 ns/op	161551453 B/op	10000010 allocs/op
Benchmark/100000-4           	       3	 346390283 ns/op	161551453 B/op	10000010 allocs/op
